X,Y,OBJECTID,TRAILSYSID,SITENAME,SITEADDR,TOWNNO,PARKING,TRAILRPKNG,RESTROOM,FOOD,WATER,OPENWHEN,PARKINGNUM
1132443.531,810721.151999995,1,3,Cook Hill Rd.,Cook Hill Rd.,71,Non Parking,False,False,False,False,Year-round,0
1136254.985,815182.013999999,2,3,Village Hill Rd.,Village Hill Rd.,71,Non Parking,False,False,False,False,Year-round,0
1138744.683,819279.682999998,3,3,Kingsley Rd.,Kingsley Rd.,71,Non Parking,False,False,False,False,Year-round,0
1131635.612,806770.863000005,4,3,Highway 87,Highway 87,30,Non Parking,False,False,False,False,Year-round,0
1112170.46600001,794042.549999997,5,3,Rt. 207,Rt. 207,67,Roadside Parking,False,False,False,False,Year-round,3
1111024.293,791045.577000007,6,3,Hebron Rt. 85,Rt. 85,64,Parking Lot,True,False,False,False,Year-round,20
1111256.597,791831.753999993,7,3,North Pond Rd.,North Pond Rd.,64,Non Parking,False,False,False,False,Year-round,0
1122109.56299999,798805.355000004,8,3,Leonard Bridge Rd.,Leonard Bridge Rd.,71,Non Parking,False,False,False,False,Year-round,0
1125645.55599999,802592.384000003,9,3,Chesboro Bridge Rd.,Chesboro Bridge Rd.,30,Non Parking,False,False,False,False,Year-round,0
1110996.29000001,786624.064999998,10,201,Rt. 85,Rt. 85,67,Non Parking,False,False,False,False,Year-round,0
1115637.764,772726.730000004,11,201,Rt. 16,Rt. 16,28,Parking Lot,True,False,False,False,Year-round,10
1106713.45999999,787047.317000002,12,3,Old Colchester Rd.,Old Colchester Rd.,67,Parking Lot,False,False,False,False,Year-round,2
1104882.38600001,784966.039000005,13,3,Grayville Rd.,Grayville Rd.,67,Roadside Parking,False,False,False,False,Year-round,2
1098048.192,776543.344999999,14,3,Old Hartford Rd.,Old Hartford Rd.,28,Roadside Parking,False,False,False,False,Year-round,2
1097148.794,775958.753999993,15,3,Rt. 2 Commuter Lot,Rt. 2,28,Parking Lot,False,False,False,False,Year-round,10
1095654.389,773855.106000006,16,3,Rt. 149,Rt. 149,28,Roadside Parking,False,False,False,False,Year-round,3
1093589.62899999,773364.378000006,17,3,River Rd.,River Rd.,28,Roadside Parking,False,False,False,False,Year-round,2
1083895.516,766831.621999994,18,3,Bull Hill Rd.,Bull Hill Rd.,28,Parking Lot,False,False,False,False,Year-round,15
