year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
2021-09,2021-09,Long-term migrant,Net,TOTAL,TOTAL,653,70,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,90+ years,0,1,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,85-89 years,-1,1,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,80-84 years,1,3,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,75-79 years,-2,3,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,70-74 years,-3,6,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,65-69 years,1,7,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,60-64 years,2,9,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,5-9 years,112,12,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,55-59 years,6,10,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,50-54 years,10,10,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,45-49 years,25,12,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,40-44 years,41,13,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,35-39 years,96,17,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,30-34 years,119,21,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,25-29 years,46,20,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,20-24 years,3,12,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,15-19 years,13,8,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,10-14 years,51,8,Provisional
2021-09,2021-09,Long-term migrant,Net,TOTAL,0-4 years,134,16,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,TOTAL,277,47,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,90+ years,0,1,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,85-89 years,0,1,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,80-84 years,0,2,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,75-79 years,-1,2,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,70-74 years,-1,4,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,65-69 years,3,5,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,60-64 years,3,6,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,5-9 years,63,8,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,55-59 years,6,7,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,50-54 years,8,8,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,45-49 years,13,9,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,40-44 years,21,10,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,35-39 years,50,13,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,30-34 years,42,16,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,25-29 years,-21,13,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,20-24 years,-13,8,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,15-19 years,4,6,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,10-14 years,28,5,Provisional
2021-09,2021-09,Long-term migrant,Net,Male,0-4 years,74,11,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,TOTAL,376,39,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,90+ years,0,0,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,85-89 years,-1,1,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,80-84 years,1,2,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,75-79 years,-1,2,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,70-74 years,-2,3,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,65-69 years,-2,5,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,60-64 years,-1,6,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,5-9 years,50,8,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,55-59 years,0,6,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,50-54 years,3,6,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,45-49 years,11,6,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,40-44 years,20,8,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,35-39 years,47,10,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,30-34 years,77,13,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,25-29 years,67,13,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,20-24 years,16,8,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,15-19 years,9,6,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,10-14 years,23,5,Provisional
2021-09,2021-09,Long-term migrant,Net,Female,0-4 years,60,9,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,TOTAL,1059,52,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,90+ years,0,1,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,85-89 years,2,1,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,80-84 years,3,2,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,75-79 years,6,3,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,70-74 years,15,5,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,65-69 years,24,6,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,60-64 years,30,6,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,5-9 years,45,7,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,55-59 years,41,7,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,50-54 years,43,8,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,45-49 years,58,9,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,40-44 years,75,9,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,35-39 years,106,12,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,30-34 years,177,15,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,25-29 years,207,17,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,20-24 years,95,10,Provisional
2021-09,2021-09,Long-term migrant,Departures,TOTAL,15-19 years,39,7,Provisional
