GEOID,NAMELSAD,SidewalkStepLFt,StreetLFt,Ratio
420030103001,Block Group 1,13392.8331,30315.8639,0.441776396
420030103002,Block Group 2,31944.47597,20586.79493,1.551697391
420030103003,Block Group 3,18655.20798,12122.70024,1.538865732
420030103004,Block Group 4,14456.19616,11567.62831,1.24971133
420030201001,Block Group 1,43952.94811,24426.52459,1.799394258
420030201002,Block Group 2,19926.21186,11431.11892,1.74315498
420030201003,Block Group 3,22958.37879,9965.841226,2.30370706
420030201004,Block Group 4,22952.82242,13993.65431,1.640230773
420030201005,Block Group 5,39795.0451,29371.57389,1.354882964
420030201006,Block Group 6,20458.56192,14307.42101,1.429926602
420030203001,Block Group 1,92663.56238,107882.6817,0.858928986
420030305001,Block Group 1,38395.22489,20462.69749,1.876352074
420030305002,Block Group 2,25345.97309,16112.18311,1.57309366
420030402001,Block Group 1,21509.69347,17350.76959,1.239696796
420030402002,Block Group 2,25279.07048,14252.56023,1.773651195
420030404001,Block Group 1,10169.15095,9113.280712,1.115860607
420030404002,Block Group 2,8834.872109,7087.361142,1.246567225
420030405001,Block Group 1,26901.21186,16791.40286,1.602082452
420030405002,Block Group 2,20318.09367,13644.53814,1.489100874
420030406001,Block Group 1,18617.17048,13175.77977,1.41298434
420030409001,Block Group 1,31136.52952,28575.63004,1.089618303
420030409002,Block Group 2,16277.47455,10606.66303,1.534646147
420030409003,Block Group 3,9676.189651,9761.311942,0.991279626
420030501001,Block Group 1,19811.36948,17795.53289,1.113277675
420030501002,Block Group 2,20286.25828,17890.33362,1.133922861
420030501003,Block Group 3,34080.14414,22131.68712,1.539880081
420030506001,Block Group 1,23842.50131,22923.82508,1.040075172
420030506002,Block Group 2,13316.12609,7596.557535,1.752915848
420030506003,Block Group 3,24231.64912,14450.77206,1.676841142
420030509001,Block Group 1,34060.43485,5125.794855,6.644907924
420030510001,Block Group 1,19752.2098,6977.288034,2.830929396
420030510002,Block Group 2,23366.61277,9945.985081,2.349351279
420030511001,Block Group 1,21923.74413,7265.428071,3.017543347
420030603001,Block Group 1,22278.54548,23303.5115,0.956016671
420030603002,Block Group 2,48258.77244,24702.37556,1.953608564
420030605001,Block Group 1,22416.27825,12986.63751,1.72610333
420030605002,Block Group 2,17259.68931,16227.87417,1.06358289
420030703001,Block Group 1,11183.9053,8688.183228,1.287254769
420030703002,Block Group 2,11845.30329,8419.074477,1.406960269
420030703003,Block Group 3,17368.45161,10656.68025,1.629818218
420030705001,Block Group 1,13836.65539,9308.429048,1.486465151
420030705002,Block Group 2,8091.378804,5540.536359,1.460396301
